id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
102,53,88,1,1,1/8/88/102/,,"ir.actions.act_window,113","{""en_US"": ""ICE servers""}",t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
60,0,3,1,1,1/3/60/,,"ir.actions.act_window,69","{""en_US"": ""Users""}",t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
61,10,14,1,1,1/8/14/61/,,"ir.actions.act_window,73","{""en_US"": ""Company Properties""}",t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
107,3,8,1,1,1/8/107/,,,"{""en_US"": ""Phone / SMS""}",t,2024-04-18 07:40:39.777727,2024-04-18 07:40:39.777727
62,15,8,1,1,1/8/62/,,,"{""en_US"": ""Reporting""}",t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
108,3,107,1,1,1/8/107/108/,,"ir.actions.act_window,146","{""en_US"": ""Phone Blacklist""}",t,2024-04-18 07:40:39.777727,2024-04-18 07:40:39.777727
109,26,8,1,1,1/8/109/,,,"{""en_US"": ""Privacy""}",t,2024-04-18 07:40:41.336734,2024-04-18 07:40:41.336734
110,1,109,1,1,1/8/109/110/,,"ir.actions.act_window,151","{""en_US"": ""Privacy Logs""}",t,2024-04-18 07:40:41.336734,2024-04-18 07:40:41.336734
112,0,111,1,1,111/112/,,,"{""en_US"": ""Human Resources""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
113,3,111,1,1,111/113/,,,"{""en_US"": ""Employees""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
114,1,113,1,1,111/113/114/,,"ir.actions.act_window,164","{""en_US"": ""Employees""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
115,4,111,1,1,111/115/,,"ir.actions.act_window,162","{""en_US"": ""Directory""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
63,2,62,1,1,1/8/62/63/,,"ir.actions.act_window,75","{""en_US"": ""Paper Format""}",t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
64,3,62,1,1,1/8/62/64/,,"ir.actions.act_window,76","{""en_US"": ""Reports""}",t,2024-04-18 07:38:41.908233,2024-04-18 07:38:41.908233
103,54,88,1,1,1/8/88/103/,,"ir.actions.act_window,136","{""en_US"": ""Message Reactions""}",t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
65,100,15,1,1,15/65/,,"ir.actions.act_window,83","{""en_US"": ""Import Module""}",t,2024-04-18 07:38:54.13821,2024-04-18 07:38:54.13821
154,30,151,1,1,146/147/151/154/,,"ir.actions.client,216","{""en_US"": ""HTML / CSS Editor""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
66,0,1,1,1,1/66/,,"ir.actions.act_window,84","{""en_US"": ""General Settings""}",t,2024-04-18 07:38:54.314881,2024-04-18 07:38:54.314881
104,55,88,1,1,1/8/88/104/,,"ir.actions.act_window,116","{""en_US"": ""Link Previews""}",t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
67,5,9,1,1,1/8/9/67/,,"ir.actions.act_window,85","{""en_US"": ""Tours""}",t,2024-04-18 07:38:54.618454,2024-04-18 07:38:54.618454
437,30,,1,1,437/,"tarcin_assignment,static/description/icon.png",,"{""en_US"": ""Assignments""}",t,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
68,5,8,1,1,1/8/68/,,,"{""en_US"": ""IAP""}",t,2024-04-18 07:38:54.744654,2024-04-18 07:38:54.744654
105,56,88,1,1,1/8/88/105/,,"ir.actions.act_window,117","{""en_US"": ""GIF favorite""}",t,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
69,10,68,1,1,1/8/68/69/,,"ir.actions.act_window,86","{""en_US"": ""IAP Accounts""}",t,2024-04-18 07:38:54.744654,2024-04-18 07:38:54.744654
155,40,151,1,1,146/147/151/155/,,"ir.actions.client,216","{""en_US"": ""Edit Menu""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
106,10,79,1,1,79/106/,,,"{""en_US"": ""Integrations""}",f,2024-04-18 07:40:31.747973,2024-04-18 07:40:31.747973
10,3,8,1,1,1/8/10/,,,"{""en_US"": ""Email""}",t,2024-04-18 07:38:41.908233,2024-04-18 07:40:31.747973
116,95,111,1,1,111/116/,,,"{""en_US"": ""Reporting""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
117,99,111,1,1,111/117/,,,"{""en_US"": ""Reporting""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
156,30,146,1,1,146/156/,,,"{""en_US"": ""Reporting""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
118,100,111,1,1,111/118/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
275,50,273,1,1,273/275/,,,"{""en_US"": ""Reporting""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
119,10,118,1,1,111/118/119/,,,"{""en_US"": ""Employee""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
157,20,156,1,1,146/156/157/,,"ir.actions.server,217","{""en_US"": ""eCommerce""}",f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
120,4,119,1,1,111/118/119/120/,,"ir.actions.act_window,170","{""en_US"": ""Departments""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
438,10,437,1,1,437/438/,,,"{""en_US"": ""Assignments""}",t,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
121,10,111,1,1,111/121/,,"ir.actions.act_window,169","{""en_US"": ""Departments""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
158,10,156,1,1,146/156/158/,,"ir.actions.server,218","{""en_US"": ""Analytics""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
122,5,119,1,1,111/118/119/122/,,"ir.actions.act_window,171","{""en_US"": ""Work Locations""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
276,99,273,1,1,273/276/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
123,6,119,1,1,111/118/119/123/,,"ir.actions.act_window,93","{""en_US"": ""Working Schedules""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
159,10,150,1,1,146/147/150/159/,,"ir.actions.act_window,222","{""en_US"": ""Pages""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
124,7,119,1,1,111/118/119/124/,,"ir.actions.act_window,158","{""en_US"": ""Departure Reasons""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
125,10,119,1,1,111/118/119/125/,,"ir.actions.act_window,161","{""en_US"": ""Tags""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
160,10,150,1,1,146/147/150/160/,,"ir.actions.act_window,223","{""en_US"": ""Model Pages""}",f,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
126,20,118,1,1,111/118/126/,,,"{""en_US"": ""Recruitment""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
439,10,438,1,1,437/438/439/,,"ir.actions.act_window,590","{""en_US"": ""Assignments""}",t,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
127,1,126,1,1,111/118/126/127/,,"ir.actions.act_window,160","{""en_US"": ""Job Positions""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
161,40,156,1,1,146/156/161/,,"ir.actions.act_window,226","{""en_US"": ""Visitors""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
128,2,126,1,1,111/118/126/128/,,"ir.actions.act_window,159","{""en_US"": ""Employment Types""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
129,100,118,1,1,111/118/129/,,,"{""en_US"": ""Activity Planning""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
130,100,129,1,1,111/118/129/130/,,"ir.actions.act_window,156","{""en_US"": ""On/Offboarding Plans""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
131,0,118,1,1,111/118/131/,,"ir.actions.act_window,172","{""en_US"": ""Settings""}",t,2024-04-18 07:40:41.811291,2024-04-18 07:40:41.811291
132,1,107,1,1,1/8/107/132/,,"ir.actions.act_window,186","{""en_US"": ""SMS""}",t,2024-04-18 07:40:46.744909,2024-04-18 07:40:46.744909
133,2,107,1,1,1/8/107/133/,,"ir.actions.act_window,188","{""en_US"": ""SMS Templates""}",t,2024-04-18 07:40:46.744909,2024-04-18 07:40:46.744909
134,50,10,1,1,1/8/10/134/,,"ir.actions.act_window,190","{""en_US"": ""Snailmail Letters""}",t,2024-04-18 07:40:47.88965,2024-04-18 07:40:47.88965
135,80,10,1,1,1/8/10/135/,,"ir.actions.act_window,194","{""en_US"": ""Digest Emails""}",t,2024-04-18 07:40:48.807216,2024-04-18 07:40:48.807216
136,81,10,1,1,1/8/10/136/,,"ir.actions.act_window,195","{""en_US"": ""Digest Tips""}",t,2024-04-18 07:40:48.807216,2024-04-18 07:40:48.807216
137,5,113,1,1,111/113/137/,,"ir.actions.act_window,196","{""en_US"": ""Org Chart""}",t,2024-04-18 07:40:49.442447,2024-04-18 07:40:49.442447
138,15,118,1,1,111/118/138/,,,"{""en_US"": ""Resume""}",t,2024-04-18 07:40:49.793622,2024-04-18 07:40:49.793622
139,3,138,1,1,111/118/138/139/,,"ir.actions.act_window,197","{""en_US"": ""Line Types""}",t,2024-04-18 07:40:49.793622,2024-04-18 07:40:49.793622
140,7,119,1,1,111/118/119/140/,,"ir.actions.act_window,198","{""en_US"": ""Skill Types""}",t,2024-04-18 07:40:49.793622,2024-04-18 07:40:49.793622
141,15,116,1,1,111/116/141/,,"ir.actions.act_window,203","{""en_US"": ""Skills""}",t,2024-04-18 07:40:49.793622,2024-04-18 07:40:49.793622
142,37,,1,1,142/,"spreadsheet_dashboard,static/description/icon.png","ir.actions.client,206","{""en_US"": ""Dashboards""}",t,2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
143,1,142,1,1,142/143/,,"ir.actions.client,206","{""en_US"": ""Dashboards""}",t,2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
144,150,142,1,1,142/144/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
145,10,144,1,1,142/144/145/,,"ir.actions.act_window,207","{""en_US"": ""Dashboards""}",t,2024-04-18 07:40:51.67663,2024-04-18 07:40:51.67663
162,50,156,1,1,146/156/162/,,"ir.actions.act_window,227","{""en_US"": ""Page Views""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
440,20,438,1,1,437/438/440/,,"ir.actions.act_window,592","{""en_US"": ""Assignment Submissions""}",t,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
163,100,146,1,1,146/163/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
164,10,163,1,1,146/163/164/,,"ir.actions.act_window,228","{""en_US"": ""Settings""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
441,20,437,1,1,437/441/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
165,20,163,1,1,146/163/165/,,"ir.actions.act_window,211","{""en_US"": ""Apps""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
166,10,163,1,1,146/163/166/,,"ir.actions.act_window,213","{""en_US"": ""Websites""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
281,4,275,1,1,273/275/281/,,"ir.actions.act_window,394","{""en_US"": ""Attendees""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
167,45,163,1,1,146/163/167/,,"ir.actions.act_window,214","{""en_US"": ""Menus""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
442,10,441,1,1,437/441/442/,,"ir.actions.act_window,591","{""en_US"": ""Assignment Types""}",t,2024-04-18 07:56:51.447522,2024-04-18 07:56:51.447522
168,30,163,1,1,146/163/168/,,"ir.actions.act_window,229","{""en_US"": ""Redirects""}",t,2024-04-18 07:40:52.262475,2024-04-18 07:40:52.262475
169,100,142,1,1,142/169/,,"ir.actions.act_window,230","{""en_US"": ""My Dashboard""}",t,2024-04-18 07:41:04.619729,2024-04-18 07:41:04.619729
170,22,,1,1,170/,"tarcin_core,static/description/sis.png",,"{""en_US"": ""SIS""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
171,10,170,1,1,170/171/,,"ir.actions.act_window,237","{""en_US"": ""Students""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
172,20,170,1,1,170/172/,,"ir.actions.act_window,243","{""en_US"": ""Faculties""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
173,30,170,1,1,170/173/,,,"{""en_US"": ""General""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
174,50,170,1,1,170/174/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
175,10,174,1,1,170/174/175/,,,"{""en_US"": ""Course Management""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
176,10,175,1,1,170/174/175/176/,,"ir.actions.act_window,240","{""en_US"": ""Courses""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
177,20,175,1,1,170/174/175/177/,,"ir.actions.act_window,241","{""en_US"": ""Batches""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
178,20,175,1,1,170/174/175/178/,,"ir.actions.act_window,236","{""en_US"": ""Department""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
179,20,174,1,1,170/174/179/,,,"{""en_US"": ""Subject Management""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
180,10,179,1,1,170/174/179/180/,,"ir.actions.act_window,242","{""en_US"": ""Subjects""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
181,80,174,1,1,170/174/181/,,,"{""en_US"": ""General Management""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
182,40,181,1,1,170/174/181/182/,,"ir.actions.act_window,239","{""en_US"": ""Categories""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
183,40,174,1,1,170/174/183/,,,"{""en_US"": ""Activity Management""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
184,40,170,1,1,170/184/,,,"{""en_US"": ""Reporting""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
185,1,174,1,1,170/174/185/,,"ir.actions.act_window,251","{""en_US"": ""Settings""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
186,1,174,1,1,170/174/186/,,"ir.actions.act_window,248","{""en_US"": ""Academic Year""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
187,2,174,1,1,170/174/187/,,"ir.actions.act_window,249","{""en_US"": ""Academic Term""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
188,25,,1,1,188/,"tarcin_core,static/description/icon_faculty.png",,"{""en_US"": ""Faculties""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
189,20,188,1,1,188/189/,,"ir.actions.act_window,244","{""en_US"": ""Profile""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
190,26,,1,1,190/,"tarcin_core,static/description/icon_student.png",,"{""en_US"": ""Students""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
191,20,190,1,1,190/191/,,"ir.actions.act_window,238","{""en_US"": ""Profile""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
192,20,190,1,1,190/192/,,,"{""en_US"": ""General""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
193,30,192,1,1,190/192/193/,,"ir.actions.act_window,245","{""en_US"": ""Subject Registration""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
194,40,192,1,1,190/192/194/,,"ir.actions.act_window,247","{""en_US"": ""Student Course Detail""}",t,2024-04-18 07:41:05.464971,2024-04-18 07:41:05.464971
195,20,,1,1,195/,"contacts,static/description/icon.png",,"{""en_US"": ""Contacts""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
196,2,195,1,1,195/196/,,"ir.actions.act_window,260","{""en_US"": ""Contacts""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
197,2,195,1,1,195/197/,,,"{""en_US"": ""Configuration""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
198,1,197,1,1,195/197/198/,,"ir.actions.act_window,58","{""en_US"": ""Contact Tags""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
199,3,197,1,1,195/197/199/,,"ir.actions.act_window,54","{""en_US"": ""Contact Titles""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
200,4,197,1,1,195/197/200/,,"ir.actions.act_window,59","{""en_US"": ""Industries""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
201,5,197,1,1,195/197/201/,,,"{""en_US"": ""Localization""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
202,1,201,1,1,195/197/201/202/,,"ir.actions.act_window,62","{""en_US"": ""Countries""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
203,3,201,1,1,195/197/201/203/,,"ir.actions.act_window,63","{""en_US"": ""Country Group""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
204,2,201,1,1,195/197/201/204/,,"ir.actions.act_window,64","{""en_US"": ""Fed. States""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
205,6,197,1,1,195/197/205/,,,"{""en_US"": ""Bank Accounts""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
206,1,205,1,1,195/197/205/206/,,"ir.actions.act_window,60","{""en_US"": ""Banks""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
207,2,205,1,1,195/197/205/207/,,"ir.actions.act_window,61","{""en_US"": ""Bank Accounts""}",t,2024-04-18 07:41:10.595876,2024-04-18 07:41:10.595876
208,10,1,1,1,1/208/,,,"{""en_US"": ""Gamification Tools""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
209,0,208,1,1,1/208/209/,,"ir.actions.act_window,270","{""en_US"": ""Challenges""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
210,10,208,1,1,1/208/210/,,"ir.actions.act_window,267","{""en_US"": ""Goals""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
211,20,208,1,1,1/208/211/,,"ir.actions.act_window,269","{""en_US"": ""Goal Definitions""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
212,30,208,1,1,1/208/212/,,"ir.actions.act_window,266","{""en_US"": ""Badges""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
213,40,208,1,1,1/208/213/,,"ir.actions.act_window,264","{""en_US"": ""Ranks""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
282,30,273,1,1,273/282/,,"ir.actions.client,397","{""en_US"": ""Registration Desk""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
214,50,208,1,1,1/208/214/,,"ir.actions.act_window,265","{""en_US"": ""Karma Tracking""}",t,2024-04-18 07:41:11.133546,2024-04-18 07:41:11.133546
443,4,174,1,1,170/174/443/,,"ir.actions.act_window,598","{""en_US"": ""Fees Terms""}",t,2024-04-18 07:57:33.94017,2024-04-18 07:57:33.94017
215,10,74,1,1,74/215/,,"ir.actions.act_window,273","{""en_US"": ""Link Tracker""}",t,2024-04-18 07:41:13.228849,2024-04-18 07:41:13.228849
283,0,276,1,1,273/276/283/,,"ir.actions.act_window,408","{""en_US"": ""Settings""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
216,30,88,1,1,1/8/88/216/,,"ir.actions.act_window,276","{""en_US"": ""Ratings""}",t,2024-04-18 07:41:13.778965,2024-04-18 07:41:13.778965
279,10,276,1,1,273/276/279/,,"ir.actions.act_window,389","{""en_US"": ""Mail Schedulers""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
217,130,,1,1,217/,"survey,static/description/icon.png",,"{""en_US"": ""Surveys""}",t,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
277,1,276,1,1,273/276/277/,,"ir.actions.act_window,396","{""en_US"": ""Event Templates""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
218,90,217,1,1,217/218/,,,"{""en_US"": ""Questions & Answers""}",t,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
274,1,273,1,1,273/274/,,"ir.actions.act_window,398","{""en_US"": ""Events""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
219,1,217,1,1,217/219/,,"ir.actions.act_window,278","{""en_US"": ""Surveys""}",t,2024-04-18 07:41:14.668723,2024-04-18 07:41:14.668723
278,2,276,1,1,273/276/278/,,"ir.actions.act_window,399","{""en_US"": ""Event Stages""}",t,2024-04-18 07:46:39.43159,2024-04-18 07:46:39.43159
